id,date,project id,expense_item_id,expense_type_id,price,budget_type_id,currency_id,note
945,2015-05-21,2,13,1,5.5,1,1,footsal
946,2015-05-21,2,20,1,3,1,1,footsal
947,2015-05-21,2,8,2,3,1,1,tuk
948,2015-05-21,2,8,2,3,1,1,tuk
949,2015-05-21,2,21,1,126,1,1,cony
950,2015-05-21,2,4,2,15,1,1,pizza
951,2015-05-21,2,8,2,7.65,1,1,taxi
952,2015-05-22,2,4,2,1,1,1,lunch
953,2015-05-23,1,8,2,4,2,1,gas
954,2015-05-23,2,4,2,20,1,1,pizza
955,2015-05-23,2,4,2,4.2,1,1,milk
956,2015-05-23,2,4,2,10.5,1,1,dinner
957,2015-05-24,2,4,2,2.5,1,1,lunch
958,2015-05-25,2,4,2,1,1,1,lunch
959,2015-05-25,2,4,2,20,1,1,dinner
960,2015-05-23,2,2,1,14.98,1,1,"file, mini shelf"
961,2015-05-26,2,4,2,1,1,1,lunch
962,2015-05-26,2,4,2,10,1,1,ice cream
963,2015-05-27,2,4,2,1,1,1,lunch
964,2015-05-27,2,2,1,130,1,1,monitor
965,2015-05-27,2,4,2,5,1,1,dinner
966,2015-05-27,2,7,3,51,1,1,darts
967,2015-05-28,2,4,2,1,1,1,lunch
968,2015-05-29,2,4,2,1,1,1,lunch
969,2015-05-29,2,8,2,0.75,1,1,parking
970,2015-05-29,2,2,1,21,1,1,mattress
971,2015-05-30,2,4,2,1,1,1,lunch
972,2015-05-30,2,4,2,10,1,1,dinner
973,2015-05-30,2,4,2,2.95,1,1,"gam, lighter, vanilla essence"
974,2015-05-31,2,4,2,20,1,1,lunch
975,2015-05-31,2,13,1,4.875,1,1,footsal
976,2015-05-31,2,13,1,10,1,1,footsal
977,2015-05-31,2,4,2,5,1,1,dinner
978,2015-06-01,1,19,1,2500,2,1,0
979,2015-06-01,1,8,2,3.8,2,1,gas
980,2015-06-01,2,4,2,2.25,1,1,ABC bakery
981,2015-06-01,2,4,2,1,1,1,lunch
982,2015-06-01,2,4,2,2.2,1,1,milk
983,2015-06-01,2,16,2,81,1,1,10000‰~
984,2015-06-01,1,8,2,5,2,1,tuk
985,2015-06-01,2,8,2,3,1,1,tuk
986,2015-06-01,1,8,2,5.275,2,1,tuk
987,2015-06-02,1,2,1,13,2,1,water server
988,2015-06-01,2,4,2,5.5,1,1,zenzai
989,2015-06-03,2,8,2,5,1,1,tuk
990,2015-06-03,2,4,2,70,1,1,dinner with makoto yuka
991,2015-06-03,2,8,2,3,1,1,tuk
992,2015-06-03,2,8,2,4,1,1,tuk
993,2015-06-03,2,21,1,10.5,1,1,0
994,2015-06-03,2,8,2,3,1,1,tuk
995,2015-06-03,2,21,1,123,1,1,nova
996,2015-06-04,2,4,2,1,1,1,lunch
997,2015-06-04,2,8,2,3,1,1,moto
998,2015-06-04,2,21,1,25,1,1,dinner
999,2015-06-04,2,21,1,60,1,1,KTV
1000,2015-06-04,2,8,2,8.5,1,1,taxi
1001,2015-06-05,2,8,2,3,1,1,tuk
1002,2015-06-05,2,4,2,16,1,1,break fast
1003,2015-06-05,2,8,2,3,1,1,moto
1004,2015-06-05,1,19,1,1739,2,1,0
1005,2015-06-06,2,4,2,1,1,1,lunch
1006,2015-06-06,1,9,3,25,2,1,PC repair
1007,2015-06-06,2,4,2,5,1,1,0
1008,2015-06-06,2,4,2,10,1,1,milk
1009,2015-06-07,2,20,1,4,1,1,drink
1010,2015-06-07,2,20,1,50,1,1,wedding
1011,2015-06-07,2,21,1,20,1,1,Makoto
1012,2015-06-08,2,4,2,5,1,1,lunch
1013,2015-06-09,2,4,2,1,1,1,lunch
1014,2015-06-09,2,2,1,2.55,1,1,book mail
1015,2015-06-09,1,8,2,60,2,1,moto
1016,2015-06-09,2,4,2,8.5,1,1,dinner
1017,2015-06-09,2,4,2,10,1,1,dry fruits
1018,2015-06-10,2,4,2,1,1,1,lunch
1019,2015-06-10,2,4,2,9,1,1,dinner
1020,2015-06-11,2,8,2,0.25,1,1,parking
1021,2015-06-11,2,8,2,952,1,1,hawaii
1022,2015-06-11,2,8,2,0.375,1,1,parking
1023,2015-06-11,2,8,2,6,1,1,taxi
1024,2015-06-11,2,21,1,42.5,1,1,dinner with mr.Arai
1025,2015-06-11,2,8,2,1,1,1,tuk
1026,2015-06-11,2,8,2,2,1,1,tuk
1027,2015-06-12,2,9,3,72,1,1,airport baggage for shino
1028,2015-06-11,2,8,2,1,1,1,taxi
1029,2015-06-12,2,8,2,6,1,1,tuk
